u,v,color
37,1079,0
37,1081,0
37,197,0
37,3321,0
37,1060,0
37,1123,0
37,1976,0
37,1125,0
37,1126,0
37,98,0
37,1803,0
37,1128,0
37,1774,0
37,200,0
37,99,0
37,1090,0
37,1130,0
37,3318,0
37,1131,0
37,1978,0
37,3323,0
37,1775,0
37,1320,0
37,1979,0
37,1967,0
37,1133,0
37,1134,0
37,42,0
37,100,0
37,1980,0
37,1981,0
37,1102,0
37,217,0
37,1322,0
37,2426,0
37,1983,0
37,3328,0
5112,13,0
5112,2342,0
5112,144,0
5112,1102,0
5112,160,0
5112,161,0
5113,13,0
5113,2342,0
5113,144,0
5113,1102,0
5113,160,0
5113,161,0
5114,13,0
5114,2342,0
5114,144,0
5114,1102,0
5114,160,0
5114,161,0
5115,13,0
5115,2342,0
5115,144,0
5115,1102,0
5115,160,0
5115,161,0
1640,4,0
1640,1363,0
1640,1245,0
1640,1367,0
1640,1246,0
1640,1370,0
1640,1247,0
1640,27,0
1640,1249,0
1640,1250,0
1640,1566,0
1640,1251,0
1640,62,0
1133,4942,0
1133,5118,0
1133,1080,0
1133,1081,0
1133,197,0
1133,1083,0
1133,1123,0
1133,1124,0
1133,9,0
1133,2680,0
1133,1125,0
1133,1126,0
1133,1128,0
1133,1224,0
1133,200,0
1133,1119,0
1133,99,0
1133,1130,0
1133,1911,0
1133,1653,0
1133,1094,0
1133,1095,0
1133,1096,0
1133,1131,0
1133,1097,0
1133,2415,0
1133,1775,0
1133,1099,0
1133,1134,0
1133,42,0
1133,100,0
1133,1101,0
1133,217,0
1133,1105,0
1133,1121,0
1133,2426,0
1133,2694,0
1133,1110,0
1133,1111,0
1133,65,0
826,4908,2
826,4912,2
826,1079,0
826,1081,0
826,1430,0
826,1058,2
826,1431,0
826,197,2
826,3321,0
826,1432,0
826,2592,0
826,1533,0
826,1060,0,2
826,1123,0
826,2593,0
826,1084,0
826,1976,2,0
826,784,0
826,700,0
826,1556,0
826,788,0
826,634,2
826,4916,2
826,1127,0
826,702,0
826,1437,0
826,1404,0
826,792,0
826,1438,0
826,5121,0
826,2342,0
826,758,0
826,1062,2
826,642,0
826,1128,0
826,1443,0
826,1445,0
826,326,0
826,1090,0
826,1479,0
826,3136,0
826,1248,6,5
826,3318,0
826,808,0
826,1536,0
826,1451,0
826,1978,0
826,208,0
826,1564,0
826,3323,0
826,1623,2
826,818,0
826,819,0
826,1320,0
826,1979,0,2
826,1545,0
826,335,0
826,824,0
826,4930,2
826,4931,2
826,5122,0
826,827,0
826,1512,0
826,830,0
826,1459,0
826,1980,0
826,1981,2,0
826,1335,2
826,1102,0
826,674,0
826,1336,2
826,1626,2
826,217,2
826,1376,2
826,1070,2
826,1549,0
826,1322,0
826,1551,0
826,3140,0
826,841,0
826,1107,2
826,1380,2
826,1071,2
826,117,0
826,160,0
826,161,0
826,1983,0,2
826,846,0
826,1464,0
826,1629,2
826,849,0
826,850,0
826,1567,0
826,851,0
826,3328,0
42,1079,0
42,1081,0
42,197,0
42,3321,0
42,1060,0
42,1123,0
42,1976,0
42,2680,0
42,1125,0
42,1126,0
42,98,0
42,1803,0
42,1128,0
42,1774,0
42,200,0
42,99,0
42,1090,0
42,1130,0
42,3318,0
42,1131,0
42,1978,0
42,3323,0
42,1775,0
42,1320,0
42,1979,0
42,1967,0
42,1134,0
42,100,0
42,1980,0
42,1981,0
42,1102,0
42,217,0
42,1322,0
42,1983,0
42,3328,0
1512,4902,2,0
1512,4942,0
1512,5123,0
1512,4905,0
1512,1081,0
1512,2653,0
1512,197,2
1512,186,2
1512,4906,0
1512,2676,0
1512,1084,0
1512,187,2
1512,784,0
1512,9,0
1512,3242,2
1512,2680,0
1512,1582,0,2
1512,13,0
1512,1492,2
1512,1954,1
1512,1793,0,1
1512,1493,2
1512,2342,0
1512,2698,0
1512,3798,0
1512,2317,2
1512,2681,0
1512,1619,2
1512,1012,2
1512,2990,0,2
1512,200,2
1512,1427,0,1
1512,1496,0,1,2
1512,1090,0
1512,1130,0
1512,2994,2,0
1512,1957,1,0
1512,1500,2
1512,2803,0
1512,1412,0,2
1512,1504,2
1512,2318,2
1512,1507,1,0,2
1512,1508,2
1512,191,2
1512,1509,2
1512,1722,1,0
1512,1134,0
1512,2655,0
1512,144,2
1512,43,0
1512,1514,2
1512,1516,2,0
1512,215,2
1512,1335,2
1512,217,2
1512,1575,0
1512,1740,1
1512,1376,2
1512,1741,1
1512,48,0
1512,1521,0,2,1
1512,2693,0
1512,1727,1,0
1512,1628,2
1512,1380,2
1512,2694,0
1512,2182,2
1512,160,0
1512,161,0
1512,1658,0,2
1807,5133,0
1807,1079,2,0
1807,3321,0
1807,1122,0,2
1807,1060,0
1807,514,0
1807,105,0
1807,2796,0
1807,4285,0
1807,2684,2
1807,1063,0
1807,1978,0
1807,5134,0
1807,3323,0
1807,1069,0
1807,1320,0
1807,1967,0
1807,1374,0
1807,111,0
1807,4286,0
1807,1980,0
1807,2959,0
1807,113,0
1807,1102,2
1807,1322,0
1807,3328,0
100,1079,0
100,1081,0
100,197,0
100,3321,0
100,1060,0
100,1123,0
100,1976,0
100,2680,0
100,1125,0
100,1126,0
100,98,0
100,1803,0
100,1128,0
100,1774,0
100,200,0
100,99,0
100,1130,0
100,3318,0
100,1131,0
100,1978,0
100,3323,0
100,1775,0
100,1320,0
100,1979,0
100,1967,0
100,1134,0
100,1980,0
100,1981,0
100,1102,0
100,217,0
100,1322,0
100,1983,0
100,3328,0
1102,4942,0
1102,5118,0,2
1102,5136,1
1102,5125,1
1102,1079,2,0
1102,1081,0
1102,2653,2,0
1102,197,0
1102,3321,0
1102,1122,2,0
1102,3914,0,2
1102,1060,0
1102,1084,0
1102,784,0
1102,1124,0,2
1102,13,0
1102,2342,0
1102,5117,0
1102,5126,1
1102,2698,0,2
1102,2343,0
1102,5116,0
1102,200,0
1102,2344,0
1102,2345,0
1102,1119,2,0
1102,5127,1
1102,99,0
1102,1090,2
1102,2684,2,0
1102,4944,0
1102,1814,1
1102,3915,2,0
1102,5128,0,2
1102,5129,2,0
1102,2346,0
1102,1097,0
1102,2347,0
1102,3323,0
1102,2348,0
1102,1320,0
1102,2655,2,0
1102,43,0,2
1102,1101,0
1102,217,0
1102,5131,1
1102,48,0,2
1102,1322,0
1102,1656,1
1102,2314,2
1102,3328,0
1090,5118,2,0
1090,5125,5,1,0,6
1090,1079,2,0
1090,3321,0
1090,1122,2,0
1090,3914,0,2
1090,1060,0
1090,1084,0
1090,1976,0
1090,514,0
1090,784,0
1090,1124,2,0
1090,2342,0
1090,1119,2,0
1090,5127,6,0,1,5
1090,4285,0
1090,2684,2
1090,3318,0
1090,3915,2,0
1090,5128,2
1090,5129,2
1090,5130,0
1090,1978,0
1090,3323,0
1090,1320,0
1090,1979,0
1090,4286,0
1090,43,2,0
1090,1980,0
1090,1981,0
1090,5131,6,5,0,1
1090,48,0,2
1090,1322,0
1090,160,0
1090,161,0
1090,1983,0
1090,3328,0
99,1079,0
99,1081,0
99,197,0
99,3321,0
99,1060,0
99,1123,0
99,1976,0
99,1125,0
99,1126,0
99,98,0
99,1803,0
99,1128,0
99,1774,0
99,200,0
99,1130,0
99,3318,0
99,1131,0
99,1978,0
99,3323,0
99,1775,0
99,1320,0
99,1979,0
99,1967,0
99,1134,0
99,1980,0
99,1981,0
99,217,0
99,1322,0
99,2426,0
99,1983,0
99,3328,0
2345,4942,0
2345,1081,0
2345,1084,0
2345,788,0
2345,13,0
2345,1127,0
2345,2342,0
2345,4944,0
2345,1097,0
2345,1967,0
2345,827,0
2345,830,0
2345,674,0
2345,849,0
2344,4942,0
2344,1081,0
2344,1084,0
2344,788,0
2344,13,0
2344,1127,0
2344,2342,0
2344,4944,0
2344,1097,0
2344,1967,0
2344,827,0
2344,830,0
2344,674,0
2344,849,0
5116,13,0
5116,2342,0
5116,144,0
5116,160,0
5116,161,0
1803,2410,0
1803,2784,0
1803,1385,0
1803,1123,0
1803,344,0
1803,1084,0
1803,2411,0
1803,2342,0
1803,2317,0
1803,1128,0
1803,5135,0
1803,1064,0
1803,1066,0
1803,1623,0
1803,2318,0
1803,1626,0
1803,2792,0
1803,160,0
1803,161,0
1803,1629,0
5117,13,0
5117,2342,0
5117,144,0
5117,160,0
5117,161,0
13,4942,0
13,5118,0
13,1,2,0
13,1079,0
13,3,2,0
13,197,0
13,6,2,0
13,3914,0
13,1060,0
13,9,0
13,2680,0
13,74,0
13,20,0
13,200,0
13,1496,0
13,4944,0
13,3915,0
13,5128,0
13,5129,0
13,1320,0
13,85,0
13,1507,0
13,1967,0
13,43,0
13,1101,0
13,217,0
13,48,0
13,1322,0
13,1521,0
13,1105,0
13,1107,0
13,2694,0
13,160,0
13,161,0
13,62,0
13,65,0,2
1126,4942,0
1126,5118,0
1126,1080,0
1126,1081,0
1126,197,0
1126,1083,0
1126,1123,0
1126,1124,0
1126,9,0
1126,2680,0
1126,1125,0
1126,1128,0
1126,1224,0
1126,200,0
1126,1119,0
1126,1130,0
1126,1911,0
1126,1653,0
1126,1094,0
1126,1095,0
1126,1096,0
1126,1131,0
1126,1097,0
1126,2415,0
1126,1775,0
1126,1099,0
1126,1134,0
1126,1101,0
1126,217,0
1126,1105,0
1126,1121,0
1126,2426,0
1126,2694,0
1126,1110,0
1126,1111,0
1126,65,0
1125,4942,0
1125,5118,0
1125,1080,0
1125,1081,0
1125,197,0
1125,1083,0
1125,1123,0
1125,1124,0
1125,9,0
1125,2680,0
1125,1128,0
1125,1224,0
1125,200,0
1125,1119,0
1125,1130,0
1125,1911,0
1125,1653,0
1125,1094,0
1125,1095,0
1125,1096,0
1125,1131,0
1125,1097,0
1125,2415,0
1125,1775,0
1125,1099,0
1125,1134,0
1125,1101,0
1125,217,0
1125,1105,0
1125,1121,0
1125,2426,0
1125,2694,0
1125,1110,0
1125,1111,0
1125,65,0
2411,2410,0
2411,3259,0
2411,4,0
2411,1385,0
2411,2680,0
2411,2317,0
2411,1130,0
2411,27,0
2411,2687,0
2411,2318,0
2411,1134,0
2411,43,0
2411,1568,0
2411,1575,0
2411,48,0
2411,2693,0
2411,1107,0
2411,1569,0
2411,2694,0
2411,2427,0
2411,62,0
9,2653,0
9,514,0
9,2680,0
9,2698,0
9,1496,0
9,2803,0
9,1097,0
9,1507,0
9,2655,0
9,43,0
9,48,0
9,1521,0
9,1107,0
9,2694,0
9,160,0
9,161,0
784,4908,2
784,4912,2
784,1079,0
784,1081,0
784,1430,0
784,1058,2
784,1431,0
784,197,2
784,3321,0
784,1432,0
784,2592,0
784,1533,0
784,1060,2,0
784,1123,0
784,2593,0
784,1084,0
784,1976,0,2
784,700,0
784,1556,0
784,788,0
784,634,2
784,4916,2
784,1127,0
784,702,0
784,1437,0
784,1404,0
784,792,0
784,1438,0
784,5121,0
784,2342,0
784,758,0
784,1062,2
784,642,0
784,1128,0
784,1443,0
784,1445,0
784,326,0
784,1479,0
784,3136,0
784,1248,6,5
784,3318,0
784,808,0
784,1536,0
784,1451,0
784,1978,0
784,208,0
784,1564,0
784,3323,0
784,1623,2
784,818,0
784,819,0
784,1320,0
784,1979,2,0
784,1545,0
784,335,0
784,824,0
784,4930,2
784,4931,2
784,5122,0
784,827,0
784,830,0
784,1459,0
784,1980,0
784,1981,0,2
784,1335,2
784,674,0
784,1336,2
784,1626,2
784,217,2
784,1376,2
784,1070,2
784,1549,0
784,1322,0
784,1551,0
784,3140,0
784,841,0
784,1107,2
784,1380,2
784,1071,2
784,117,0
784,160,0
784,161,0
784,1983,0,2
784,846,0
784,1464,0
784,1629,2
784,849,0
784,850,0
784,1567,0
784,851,0
784,3328,0
1084,4942,0,2
1084,4911,2
1084,1079,0
1084,1081,0
1084,2302,2
1084,1122,0
1084,3468,0
1084,2342,0
1084,3469,0
1084,2317,2
1084,3470,0
1084,4944,0,2
1084,3318,0
1084,2297,2
1084,2318,2
1084,1967,0
1084,144,2
1084,1107,2
1084,2349,0
1084,160,0
1084,161,0
1084,3478,0
1084,65,2
1122,5118,2
1122,5136,1
1122,5125,1
1122,1081,0
1122,2653,0,2
1122,3914,2,0
1122,1060,0
1122,1124,2
1122,5126,1
1122,2698,0,2
1122,2343,0
1122,2681,1
1122,1119,2
1122,5127,1
1122,5137,1
1122,2684,2,0
1122,4944,0
1122,1248,1
1122,1814,1
1122,3318,0
1122,3915,2,0
1122,5128,2,0
1122,5129,2,0
1122,2346,0
1122,2347,0
1122,2348,0
1122,1320,0
1122,2655,2,0
1122,43,0,2
1122,1101,0
1122,5131,1
1122,48,0,2
1122,1656,1
1122,2693,1
1122,2314,2
1122,160,0
1122,5138,1
2410,3259,0
2410,4,0
2410,1385,0
2410,2680,0
2410,2317,0
2410,1130,0
2410,27,0
2410,2687,0
2410,2318,0
2410,1134,0
2410,43,0
2410,1568,0
2410,1575,0
2410,48,0
2410,1107,0
2410,1569,0
2410,2694,0
2410,62,0
1079,5123,0
1079,5124,0
1079,5118,0,2
1079,5125,5,6,0,1
1079,1081,0
1079,2653,2,0
1079,1082,0
1079,3321,0
1079,3914,0,2
1079,1060,0
1079,1085,0
1079,1976,0
1079,1124,0,2
1079,1086,0
1079,2342,0
1079,5126,1
1079,2698,2,0
1079,1119,2,0
1079,5127,0,6,1,5
1079,2684,0,2
1079,1248,1
1079,3318,0
1079,3915,2,0
1079,5128,2
1079,5129,2
1079,5130,0
1079,1978,0
1079,3323,0
1079,1320,0
1079,1979,0
1079,2655,2,0
1079,43,2,0
1079,1980,0
1079,1101,0
1079,1981,0
1079,5131,6,5,1,0
1079,48,2,0
1079,160,0
1079,161,0
1079,1983,0
5118,5123,0
5118,4950,0
5118,5125,6,1,0
5118,1081,0
5118,197,0
5118,4,0
5118,320,1
5118,2676,1,0
5118,3914,2
5118,1556,0
5118,1157,0
5118,483,0
5118,5126,1
5118,2681,0,1
5118,200,0
5118,5127,0,1,6
5118,328,0
5118,244,1
5118,2684,2,0
5118,1911,0
5118,27,0
5118,3915,2
5118,1653,0
5118,5128,2
5118,5129,2
5118,5130,0
5118,3354,0
5118,1097,0
5118,1564,0
5118,1320,0
5118,1967,0
5118,43,0,2
5118,1101,0
5118,2366,0
5118,338,0
5118,217,0
5118,5131,1,6,0
5118,48,0,2
5118,1322,0
5118,1530,0
5118,2693,0,1
5118,1105,0
5118,2314,0,2
5118,117,0
5118,160,0
5118,161,0
5118,1285,0,1,2
5118,2953,0
5118,62,0
5118,1567,0
5118,65,0
5139,2021,0
5139,5140,0
5139,2340,0
5139,2334,0
5139,2310,0
5139,2333,0
5139,2332,0
5139,2331,0
5139,2330,0
5139,2329,0
5139,2328,0
5139,2327,0
5139,2326,0
5139,2325,0
5139,2232,0
5139,2339,0
5139,2324,0
5139,150,0
5139,2323,0
5139,2322,0
5139,2321,0
5139,2320,0
5139,1692,0
5139,2338,0
5139,2337,0
5139,2336,0
5139,2335,0
2021,5141,0
2021,696,0
2021,2323,0
2021,3832,2
2021,2232,3
2021,2325,0
2021,2327,0
2021,3108,0
2021,2331,0
2021,2332,0
2021,2310,2,0
2021,208,2
2021,5140,0
2021,2335,0
2021,1204,0
2021,1205,0
2021,718,0
2021,719,0
2021,5142,0
2021,2340,2
2021,160,2
2021,161,2
5140,2320,0
5140,2321,0
5140,2322,0
5140,2323,0
5140,150,0
5140,2324,0
5140,2232,0
5140,2325,0
5140,2326,0
5140,2327,0
5140,2328,0
5140,2329,0
5140,2330,0
5140,2331,0
5140,2332,0
5140,2333,0
5140,2310,0
5140,2334,0
5140,2335,0
5140,2336,0
5140,2337,0
5140,2338,0
5140,2339,0
5140,2340,0
5140,1692,0
2340,5141,0
2340,2324,0
2340,2325,0
2340,4112,0
2340,2328,0
2340,2329,0
2340,2909,0
2340,2330,0
2340,2310,2
2340,2334,0
2340,2415,2
2340,2335,0
2340,2366,0
2340,1016,2
2340,5142,0
2340,2339,0
2334,2322,0
2334,2325,0
2334,2909,0
2334,2366,0
2334,2338,0
2310,1866,0
2310,2322,0
2310,2323,0
2310,2325,0
2310,2327,0
2310,2909,0
2310,2331,0
2310,2332,0
2310,1868,0
2310,208,2
2310,2335,0
2310,2338,0
2333,5141,0
2333,5143,0
2333,4110,0
2333,5144,0
2333,5145,0
2333,5142,0
2332,5124,0
2332,2322,0
2332,2323,0
2332,2325,0
2332,2327,0
2332,3108,0
2332,2909,0
2332,2331,0
2332,2338,0
2331,2322,0
2331,2325,0
2331,2909,0
2331,2335,0
2331,2338,0
2330,2322,0
2330,2325,0
2330,2909,0
2330,2366,0
2330,2338,0
2329,2322,0
2329,2325,0
2329,2909,0
2329,2366,0
2329,2338,0
2328,2322,0
2328,2325,0
2328,2909,0
2328,2366,0
2328,2338,0
2327,2323,0
2327,2325,0
2327,3108,0
2327,2909,0
2327,572,0
2327,582,0
2327,2335,0
2327,589,0
2326,4960,1,3,0,5
2326,4950,0
2326,5141,0
2326,4951,1,0,2
2326,1019,2
2326,1058,2
2326,3105,0,3
2326,1020,2
2326,1154,5,6
2326,1060,2
2326,1363,0,2
2326,2232,0
2326,1245,0
2326,1157,0,3,5,2,6
2326,2148,0,1,2
2326,634,2
2326,1367,0,2
2326,1492,3
2326,1493,3
2326,1681,3
2326,426,0
2326,1246,0
2326,1159,0
2326,1161,6,5
2326,1062,2
2326,1619,2,1,5,3
2326,1684,3
2326,1162,6,5
2326,1247,0
2326,1529,5,3
2326,1498,0
2326,1026,2
2326,1500,3
2326,1029,2
2326,3013,0,3,2
2326,2150,0,1,2
2326,1248,0,3,5,2,1
2326,205,2
2326,1504,3
2326,1348,1,0,3,2
2326,293,2,0
2326,1174,6,5
2326,294,2,0
2326,1686,3
2326,1508,3
2326,1046,3,5
2326,1509,3
2326,1249,0
2326,1250,0
2326,1514,3
2326,1688,3
2326,3023,0,3,2
2326,1251,0
2326,1070,2
2326,1177,2
2326,5142,0
2326,1628,1,2,5,3
2326,1531,3,5
2326,1107,2
2326,1071,2
2326,1180,5,6
2326,1864,0
2326,1532,3,5
2325,5141,0
2325,2320,0
2325,2321,0
2325,1307,1
2325,2322,0
2325,2323,0
2325,1579,1
2325,2324,0
2325,1793,1
2325,638,1
2325,4112,0
2325,2909,0
2325,1308,1
2325,2768,1
2325,1310,1
2325,1593,1
2325,1595,1
2325,2335,0
2325,1311,1
2325,2337,0
2325,1601,1
2325,2338,0
2325,5142,0
2325,2339,0
2325,2769,1
2325,2953,1
2325,1692,0
2232,5141,0
2232,479,0
2232,649,0
2232,2336,0
2232,672,0
2232,498,1,2,0
2232,5142,0
2232,1398,0,3,4
2339,2322,0
2339,2909,0
2339,2366,0
2339,2338,0
2324,2322,0
2324,2909,0
2324,2366,0
2324,2338,0
150,4983,2,0
150,4950,0,2
150,5146,0
150,5141,0
150,1057,0
150,1673,0
150,208,2,0
150,1677,0
150,932,2,0
150,5142,0
2323,3108,0
2323,2909,0
2323,572,0
2323,582,0
2323,2335,0
2323,589,0
2322,5124,0
2322,2909,0
2320,5141,0
2320,4110,0
2320,2335,0
2320,5142,0
1692,5147,0
1692,5014,0
1692,3932,0
1692,3314,0
1692,5148,0
1692,1157,5
1692,5015,0
1692,4112,0
1692,5149,0
1692,5016,0
1692,3316,0
1692,5150,0
1692,229,0
1692,5151,0
1692,5152,0
1692,173,6,5
1692,5153,0
1692,5154,0
1692,353,1,0,2
1692,5155,0
1692,5156,0
1692,5157,0
1692,3319,0
1692,236,0
1692,5158,0
1692,4115,0
1692,5017,0
1692,5159,0
2338,5124,0
2338,4112,0
2338,2909,0
2336,5141,0
2336,5142,0
2335,3105,0
5160,3534,2,1
5160,5161,2,1
5160,5162,2,1
5160,3535,1,2
5160,3536,2,1
5160,1359,2,1
5160,3538,1,3
5160,1358,1,2
5160,3537,2,1
5160,5163,1,2
3534,1363,1,2
3534,1367,2,1
3534,1582,2,1
3534,1370,2,1
3534,229,0
3534,3540,1
3534,1763,1,2
3534,236,0
1359,1356,1
1359,1357,1
1359,1816,3
5063,266,0
5063,5082,0
5063,3413,0
5063,5164,3,0
5063,3727,0
5063,4120,0
5063,3489,0
5063,3490,0
5063,1479,0
5063,3496,0
5063,3136,0
5063,5165,0
5063,4047,0
5063,1868,0
5063,5166,0
5063,5083,0,2,3
5063,3491,0
5063,5084,0
5063,276,0
5063,304,0
5063,5085,0,3
5063,5167,0
5063,1451,0
5063,762,0,3
5063,5168,0
5063,2756,0
5063,5086,0
5063,1502,0
5063,2757,0
5063,5089,0
5063,5090,0,3
5063,1032,0
5063,5169,0
5063,5091,0
5063,5092,0
5063,305,0
5063,3467,0
5063,5093,0
5063,5170,0
5063,5094,3,0
5063,661,0
5063,5171,0
5063,5172,0
5063,5173,0
5063,5095,0
5063,404,0
5063,3543,0
5063,283,0
5063,4838,0
5063,5096,0
5063,2616,0
5063,5097,0
5063,3492,0
5063,5098,0,3
5063,5174,0
5063,2807,0
5063,765,0,3
5063,5175,0
5063,4848,0
5063,3544,0
5063,4503,0
5063,1395,0
5063,5176,0
5063,5177,0
5063,1340,0
5063,5122,0
5063,2758,0
5063,4121,0
5063,1396,0
5063,5099,0
5063,5178,0
5063,5100,3,0
5063,766,0,3
5063,767,0,3
5063,5179,0
5063,3545,0
5063,768,3,0
5063,5101,0
5063,769,3,0
5063,5102,0
5063,5180,0
5063,5181,0
5063,2602,0
5063,3497,0
5063,5182,0
5063,5183,0
5063,3498,0
5063,5103,0
5063,5184,0
5063,1826,0
5063,1873,0
5063,5185,0
5063,5104,0
5063,1472,0
5063,1646,0
5063,3140,0
5063,3499,0
5063,3180,2,0,3
5063,1522,0
5063,5186,0
5063,315,0
5063,5106,0
5063,2605,0
5063,689,0,3,2
5063,2350,2,3,0
5063,5107,0,3
5063,5187,0
5063,5188,0
5063,2975,0
5063,770,3,0
5063,1464,0
5063,5108,0
5063,5189,0
5063,5109,0
5063,5110,0
5063,5190,0
5063,5070,0
5063,253,0
5063,754,0,3
5063,5191,0
5063,3664,0
5063,5071,0
5063,755,3,0
5063,1819,0
5063,320,0
5063,1433,0
5063,697,0
5063,256,0
5063,5072,0
5063,1471,0
5063,5073,3,0
5063,756,0,3
5063,187,0
5063,296,0
5063,5074,0
5063,5192,0
5063,5193,0
5063,5075,0
5063,1867,0
5063,259,0
5063,260,0
5063,5076,0
5063,3487,0
5063,1386,0
5063,5062,0
5063,1387,0
5063,5077,0
5063,5078,0
5063,3488,0
5063,5194,0
5063,3172,0
5063,5121,0
5063,1388,0
5063,5079,0
5063,264,0
5063,2755,0
5063,300,0
5063,3682,0
5063,5195,0
5063,4428,0
5063,4462,0
5063,2585,0
5063,1477,0
5063,5080,3,0
5063,5081,0
5063,1389,0
5063,302,0
5063,1821,0
5063,5196,0
5063,5197,0
5063,1443,0
5063,1478,0
5063,5065,0
5063,5198,0
5063,5067,0
5063,5199,0
5063,5200,0
5063,5201,0
5063,5068,0
5063,5061,0
5063,5202,0
5063,1338,0
5063,1866,0
5063,1818,0
5063,2754,0
5063,5203,0
5063,5069,0
5063,775,0
5063,5204,0
5063,185,0
266,5065,3,0
266,5067,0
266,5061,0
266,2754,0
266,5069,0
266,5070,0
266,253,0
266,3664,0
266,255,1
266,5071,0
266,320,0
266,697,0
266,296,0
266,5074,0
266,5075,0
266,1867,3,0
266,387,3,1
266,5205,0,3
266,5076,0
266,5062,0
266,1387,0,3
266,5078,0
266,298,0
266,1388,0
266,5079,0
266,264,3,0
266,2755,0
266,300,0
266,3682,0
266,4428,0
266,5206,3,1
266,5207,3,1
266,5208,0
266,5081,0
266,1389,0
266,301,0,3
266,302,0
266,2596,3,0
266,5082,0
266,5209,0
266,708,0,3
266,271,1
266,303,0
266,4120,0
266,3489,0
266,3490,0
266,3496,0,3
266,5210,0,3
266,4047,0
266,5083,0
266,5084,0
266,276,0
266,304,0
266,1391,0
266,2756,0,3
266,5086,0
266,2757,0
266,5089,0
266,5091,3,0
266,5092,0,3
266,305,0
266,3467,0
266,5093,0
266,661,0
266,5172,3
266,5173,3
266,2601,0,3
266,283,0
266,5096,0
266,5211,0,3
266,306,0
266,2616,0
266,5097,0
266,3492,0
266,4848,3
266,309,0
266,310,0
266,2758,0
266,4121,0
266,5099,0
266,2759,0
266,453,3,1
266,5101,0
266,5102,0
266,2602,0,3
266,3497,3,0
266,3498,0,3
266,5103,0
266,837,1,3
266,1177,0
266,5104,0,3
266,2982,1,3
266,5212,3,0
266,5213,0
266,3499,3,0
266,3180,3,0
266,315,0
266,5106,0
266,1829,0,3
266,864,3,1
266,5108,0
266,288,1
266,5110,0
5082,5065,0,3
5082,5067,0
5082,5214,3
5082,5068,0,3
5082,5061,0
5082,1818,3,0
5082,2754,0
5082,5069,0
5082,696,0
5082,5070,0
5082,253,0
5082,254,1,3
5082,3664,0
5082,255,1
5082,5071,0
5082,2592,3,0
5082,1819,0,3
5082,697,0
5082,256,0
5082,5072,0
5082,2593,3,0
5082,2594,3
5082,296,0
5082,5074,0
5082,5075,0
5082,1867,3
5082,387,1,3
5082,5205,0,3
5082,701,0
5082,259,0
5082,260,0
5082,5076,0
5082,1386,3,0
5082,5062,0
5082,2595,3
5082,1387,0,3
5082,297,1
5082,5077,0,3
5082,5078,0
5082,360,3
5082,298,0
5082,299,1,3
5082,1388,0
5082,5079,0
5082,264,3,0
5082,704,0
5082,2755,0
5082,300,0
5082,3682,0
5082,265,3,1
5082,5206,3,1
5082,5207,3,1
5082,4462,3,0
5082,1477,0,3
5082,706,0
5082,5208,0
5082,5081,0
5082,1389,0
5082,301,3,0
5082,302,0
5082,5215,0
5082,1821,3,0
5082,5209,0
5082,708,0,3
5082,271,1
5082,303,0
5082,1822,3
5082,4120,0
5082,3489,0
5082,3490,0
5082,3496,0,3
5082,5210,3,0
5082,4047,0
5082,275,1
5082,5083,0
5082,5084,0
5082,276,0
5082,1450,3
5082,304,0
5082,710,0
5082,279,0
5082,2756,3
5082,5086,0
5082,2757,0
5082,5089,0
5082,280,3,1
5082,5091,0,3
5082,5092,0,3
5082,305,0
5082,3467,0
5082,5093,0
5082,713,0
5082,661,0
5082,5172,3
5082,664,0
5082,5173,3
5082,1394,3
5082,5095,0
5082,247,3
5082,283,0
5082,5096,0
5082,5211,3,0
5082,306,0
5082,2616,0
5082,284,1
5082,5097,0
5082,3492,0
5082,307,3,1
5082,308,3,1
5082,4848,3
5082,1395,0
5082,309,0
5082,310,0
5082,2758,0
5082,4121,0
5082,1396,3,0
5082,5099,0
5082,453,3,1
5082,5101,0
5082,5102,0
5082,2602,0,3
5082,3497,3,0
5082,3498,0,3
5082,5216,0
5082,5103,0
5082,1826,3,0
5082,837,3,1
5082,716,0
5082,1177,0
5082,5104,3,0
5082,2982,3,1
5082,1472,0,3
5082,718,0
5082,719,0
5082,5212,0,3
5082,1646,0,3
5082,682,0
5082,5213,0
5082,3499,0,3
5082,3180,3,0
5082,315,0
5082,721,0
5082,5106,0
5082,2605,0,3
5082,1829,0,3
5082,864,1,3
5082,5108,0
5082,288,1
5082,5109,3,0
5082,5217,0
5082,723,0
5082,5110,0
5082,2606,3
3413,5067,0
3413,5201,0
3413,5068,0
3413,1866,0
3413,5204,0
3413,2350,0
3413,754,0
3413,5191,0
3413,755,0
3413,320,0
3413,1433,0
3413,3655,0
3413,756,0
3413,187,0
3413,5193,0
3413,5075,0
3413,1867,0
3413,3487,0
3413,5077,0
3413,3488,0
3413,3172,0
3413,5121,0
3413,5079,0
3413,5195,0
3413,4428,0
3413,3656,0
3413,2871,0
3413,2585,0
3413,5196,0
3413,5197,0
3413,1478,0
3413,3657,0
3413,5164,0
3413,3489,0
3413,3490,0
3413,1479,0
3413,4047,0
3413,1868,0
3413,5166,0
3413,5083,0
3413,3491,0
3413,5084,0
3413,5085,0
3413,5167,0
3413,762,0
3413,5168,0
3413,2756,0
3413,1032,0
3413,5218,0
3413,5094,0
